4397	PL	30-740	Krakow	Walstead - CLK	PL	00-992	Warszawa	ul. Jagiellonska 88	4	1	2504.52	304	Duzy	NULL	1150	PLN	07.08.2019	01:30:00	07.08.2019	00:00:00
4398	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	59-241	Legnickie Pole	Nowa Wies Legnicka 104	43	1	11517.00	NULL	Duzy	NULL	1380	PLN	06.08.2019	15:00:00	09.08.2019	12:00:00
4401	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	42-575	Grodkow	ul. Zwyciestwa 32	40	1	10725.00	NULL	Duzy	NULL	750	PLN	06.08.2019	21:00:00	09.08.2019	12:00:00
4402	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	44-100	Gliwice	ul. Gutenberga 1	42	1	11220.00	NULL	Duzy	NULL	830	PLN	06.08.2019	23:00:00	09.08.2019	12:00:00
4405	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	05-850	Ozarow Mazowiecki	ul. Ozarowska 40/42	30	1	21764.40	NULL	Duzy	NULL	800	PLN	07.08.2019	03:00:00	07.08.2019	09:00:00
4428	PL	27-200	Starachowice	Walstead Starachowice - P4	DE	96476	Bad Rodach	Werner-von-Siemens-Str. 27	26	6	18243.79	880	Duzy	NULL	950	EUR	09.08.2019	16:30:00	12.08.2019	00:00:00
4430	PL	30-740	Krakow	Walstead - CLK	DE	96450	Coburg	Hinterer Floßanger 10	33	0	19958.40	863	sredni	NULL	940	EUR	09.08.2019	09:00:00	12.08.2019	00:00:00
4432	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	83-000	Pruszcz Gdanski	Bedzieszyn 102	2	1	1136.00	NULL	Maly	NULL	1350	PLN	11.08.2019	13:30:00	12.08.2019	06:00:00
4441	PL	30-740	Krakow	Walstead - CLK	PL	05-500	Piaseczno	Budynek nr 3	26	3	16348.50	NULL	Duzy	NULL	1150	PLN	07.08.2019	21:30:00	08.08.2019	06:00:00
4457	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	42-575	Grodkow	ul. Zwyciestwa 32	6	3	4596.90	NULL	Duzy	NULL	950	PLN	08.08.2019	21:00:00	09.08.2019	12:00:00
